√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ	ƒß∑® Ù–‘À˜“˝1	ƒß∑® Ù–‘À˜“˝2	ƒß∑® Ù–‘À˜“˝3	ƒß∑® Ù–‘À˜“˝4	ƒß∑® Ù–‘À˜“˝5	ƒß∑® Ù–‘À˜“˝6	À˘‘⁄Ã◊◊∞
Ma S∏t HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	115	115	31	60	60																36	95	32	80	33	35							1	133	56	246	245	166	21
Ma S∏t Chÿ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bﬁ Hoµng Kim	0	99999	10	0	31	60	60																			36	50	32											130					21
Ma Hoµng Kim Gi∏p Kh´i	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	250	250	31	60	60																36	50	32	90										130					22
Ma Hoµng ∏n Xu t HÊ Hπng Khuy™n	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	31	60	60																			36	95	39	7									4	60	62	95	87	107	22
Ma Hoµng Kh™ CËc ThÛc y™u Æ∏i	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									1	31	5	35	27	256	22
Ma Hoµng Huy’t Y ThÛ Trπc	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	70	70	31	60	60																36	90	32	30									1	129	5	251	250	255	22
Ma Hoµng ß®ng ßπp Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	80	80	31	60	60																36	85	32	35									1	43	8	103	57	254	22
Ma Thﬁ ß«u Qu∏n	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	250	250	31	60	60																36	50	32	90										130					23
Ma Thﬁ Hπng Li÷m	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	31	60	60																			36	95	32										4	60	62	96	83	107	23
Ma Thﬁ Hoµn ßi“u	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									1	31	5	35	27	166	23
Ma Thﬁ HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	70	70	31	60	60																36	85	32	30									1	257	5	166	254	256	23
Ma Thﬁ Chi’n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	80	80	31	60	60																36	90	32	35									1	96	8	103	57	255	23
L®ng Nhπc Ch©n VÚ Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bﬁ Hoµng Kim	0	99999	10	0	28	46	46	29	86	86	31	60	60													36	99	32	120									1	133	96	69	51	73	24
L®ng Nhπc ßπo bµo	0	2	15	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Trang bﬁ Hoµng Kim	4	99999	10	0	30	720	720	31	60	60																36	90	32	260	33	110							68	39	92	129	96	288	24
L®ng Nhπc Ph∏p Thao	0	6	0	\spr\item\equip\sash\obj-sash09.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	160	160	31	60	60																36	85	32	110	33	50							65	31	56	35	7	286	24
L®ng Nhπc HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	135	135	31	60	60																36	80	32	90	33	35							4	287	53	259	258	157	24
L®ng Nhπc Ban Chÿ 	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	50	32	110	33	50								130					24
C p Phong Chi NgÚ Long Qu∏n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-1.spr	28	2	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	250	250	31	60	60																36	80	32	90									2	129	61	129	129	129	25
CÀp Phong Tam Thanh PhÔ 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bﬁ Hoµng Kim	0	99999	10	0	31	60	60																			36	95	39	8									2	84	62	96	89	107	25
CÀp Phong Huy“n Ti Tam ßoπn c»m	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	30	80	80	31	60	60																36	85	32	35									4	31	62	35	27	286	25
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	3	99999	10	0	30	70	70	31	60	60																36	90	32										1	129	64	264	263	157	25
C p Phong Chi Ph∏p giÌi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bﬁ Hoµng Kim	1	99999	10	0	31	60	60																			36	50	32											130					25
X≠¨ng Tinh Hµn Thi’t	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bﬁ Hoµng Kim	0	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									2	43	62	70	96	72	26
X≠¨ng Tinh ßπo bµo	0	2	15	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Trang bﬁ Hoµng Kim	4	99999	10	0	30	500	500	31	60	60																36	90	32	210									2	96	54	39	85	271	26
X≠¨ng Tinh LÚ ß∏i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	100	100	31	60	60																36	80	32	85									4	31	53	35	27	169	26
X≠¨ng Tinh HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	90	90	31	60	60																36	85	32	80									1	133	56	268	267	270	26
X≠¨ng Tinh Chÿ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	50	32											130					26
L´i Kinh B∂o Ki’m	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	250	250	31	60	60																36	85	32	90									2	92	62	129	59	169	27
L´i Kinh C∂nh TrÙy	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	31	60	60																			36	95	32										2	85	62	96	59	107	27
L´i Kinh LÚ ß∏i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									4	31	61	35	27	272	27
L´i Kinh Y™u PhËi	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	31	60	60																			36	90	32										1	129	64	273	272	271	27
L´i Kinh Chÿ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	80	32											130					27
VÙ Hoan Kinh Qu∏n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	250	250	31	60	60																36	85	32	90									2	39	62	271	92	279	28
VÙ Hoan C∂nh TrÙy	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	31	60	60																			36	95	32										2	60	62	96	85	107	28
VÙ Hoan LÚ ß∏i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									4	31	61	35	27	276	28
VÙ Hoan Y™u PhËi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	31	60	60	31	60	60																36	85	32										1	169	64	277	82	278	28
VÙ Hoan Chÿ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	80	32											130					28
Th´ng Linh Chÿ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	60	32											130					29
Th´ng Linh Ban Chÿ 	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bﬁ Hoµng Kim	3	99999	10	0	31	60	60																			36	60	32											130					29
ßÈng S∏t Bπch Kim ßi™u Long GiÌi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bﬁ Hoµng Kim	3	99999	10	0	31	60	60																			36	80	32										53	7	65	2	10	98	30
ßÈng S∏t Bπch Ng‰c Cµn Kh´n BÈi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	99999	10	0	31	60	60																			36	80											65	6	53	2	11	99	30
ßÈng S∏t Bπch Kim TÛ PhÙng GiÌi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bﬁ Hoµng Kim	0	99999	10	0	31	60	60																			36	80	32										53	7	65	2	10	98	30
ßÈng S∏t Phÿ ThÛy Ng‰c Hπng Khuy™n	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	80	32										65	7	53	3	10	99	30
ßﬁnh Nghi÷p ß«u qu∏n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	310	310	31	60	60																36	85	32										5	4	57	85	61	31	31
ßﬁnh Nghi÷p Chi’n bµo	0	2	20	\spr\item\equip\armor\obj-ma-cloth20-3.spr	22	2	3	Trang bﬁ Hoµng Kim	4	99999	10	0	30	630	630	31	60	60																36	85	32										6	2	62	97	57	39	31
ßﬁnh Nghi÷p Y™u Æ∏i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	140	140	31	60	60																36	85	32										5	4	57	89	61	27	31
ßﬁnh Nghi÷p HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	115	115	31	60	60																36	85	32										62	3	6	81	57	35	31
ßﬁnh Nghi÷p Chi’n ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	140	140	31	60	60																36	85	32										61	60	6	93	2	103	31
ßﬁnh Nghi÷p Ban chÿ 	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	85	32										2	130					31
ßﬁnh QuËc ß«u qu∏n	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	350	350	31	60	60																36	99	32										6	85	63	4	59	31	32
ßﬁnh QuËc Chi’n bµo	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	23	2	3	Trang bﬁ Hoµng Kim	4	99999	10	0	30	720	720	31	60	60																36	99	32										6	97	63	4	59	39	32
ßﬁnh QuËc Y™u c´ 	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bﬁ Hoµng Kim	3	99999	10	0	30	160	160	31	60	60																36	99	32										6	89	63	4	59	27	32
ßﬁnh QuËc HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	135	135	31	60	60																36	99	32										6	81	63	4	59	35	32
ßﬁnh QuËc Chi’n ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	160	160	31	60	60																36	99	32										6	93	63	4	59	103	32
ßﬁnh QuËc Ban chÿ 	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bﬁ Hoµng Kim	2	99999	10	0	31	60	60																			36	99	32										3	130					32
